,Company Name,Listed Date,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss,Year,Is_Successful
281,Vasa Denticity Limited,2023-06-02,128,221.55,0.007309,,0.038164,2023,0
282,Remus Pharmaceuticals Limited,2023-05-29,1229,1796.8,0.00462,,0.005158,2023,0
283,Krishca Strapping Solutions Limited,2023-05-26,54,112.9,0.010907,,0.040648,2023,0
284,Auro Impex & Chemicals Limited,2023-05-23,78,75.7,-0.000295,,-0.003827,2023,0
285,De Neers Tools Limited,2023-05-11,101,180.5,0.007871,,0.025198,2023,0
286,Innokaiz India Limited,2023-05-11,78,155.61,0.00995,16.5,-0.007885,2023,0
287,Retina Paints Limited,2023-05-03,30,30.5,0.000167,52.02,0.00734,2023,0
288,Quicktouch Technologies Limited,2023-05-02,61,61.0,0.0,,0.001082,2023,0
289,A G Universal Limited,2023-04-24,60,60.1,1.7e-05,,-0.002333,2023,0
290,Pattech Fitwell Tube Components Limited,2023-04-21,50,57.6,0.00152,,0.0046,2023,0
291,MOS Utility Limited,2023-04-18,76,94.5,0.002434,,0.025178,2023,0
292,Sancode Technologies Limited,2023-04-18,47,60.8,0.002936,54.79,0.001657,2023,0
293,Infinium Pharmachem Limited,2023-04-17,135,147.8,0.000948,,0.01207,2023,0
294,Exhicon Events Media Solutions Limited,2023-04-17,64,67.2,0.0005,416.3,0.055047,2023,0
295,Sotac Pharmaceuticals Limited,2023-04-13,111,120.75,0.000878,,0.001261,2023,0
296,Maiden Forgings Limited,2023-04-06,63,59.86,-0.000498,70.0,0.001111,2023,0
297,Dev Labtech Venture Limited,2023-03-29,51,50.21,-0.000155,61.69,0.002096,2023,0
298,Command Polymers Limited,2023-03-29,28,26.5,-0.000536,29.92,0.000686,2023,0
299,Nirman Agri Genetics Limited,2023-03-28,99,101.3,0.000232,,0.011551,2023,0
300,Quality Foils (India) Limited,2023-03-24,60,97.7,0.006283,,0.002933,2023,0
